"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,10.1291590098472,2.74666666666667,20.1333333333333
"2",2,10.3331673752786,3.33333333333333,20.5333333333333
"3",3,11.1707748334306,3.46666666666667,21.1333333333333
"4",4,9.83393539357335,3.12666666666667,18.5333333333333
"5",5,9.05729194245175,2.64,17.4666666666667
"6",6,6.82090229209913,1.43333333333333,15.5333333333333
"7",7,6.27139920252308,1.36,15.2733333333333
"8",8,7.86822482345151,2.12,16.4
"9",9,11.5913198453699,4.06923076923077,19.6153846153846
"10",10,15.1914615152334,8.06,22.0666666666667
"11",11,15.213608390511,8.47333333333333,22.5333333333333
"12",12,14.3607704948949,6.95333333333333,21.4
