idCollectionEvent,PROJECT,SOURCE,SAMPLE_DATETIME,STATION,WATER_BODY,CBSEG_2003,SONDE,LATITUDE,LONGITUDE,DEPTH,LAYER,TOTAL_DEPTH,TOTAL_DEPTH_UNITS,TOTAL_DEPTH_A,BATT,BATT_A,WTEMP,WTEMP_UNITS,WTEMP_A,WTEMP_QUALIFIER,WTEMP_METHOD,SPCOND,SPCOND_UNITS,SPCOND_A,SPCOND_QUALIFIER,SPCOND_METHOD,SALINITY,SALINITY_UNITS,SALINITY_A,SALINITY_QUALIFIER,SALINITY_METHOD,DO_SAT,DO_SAT_UNITS,DO_SAT_A,DO_SAT_QUALIFIER,DO_SAT_METHOD,DO,DO_UNITS,DO_A,DO_QUALIFIER,DO_METHOD,PH,PH_UNITS,PH_A,PH_QUALIFIER,PH_METHOD,TURB_NTU,TURB_NTU_UNITS,TURB_NTU_A,TURB_NTU_QUALIFIER,TURB_NTU_METHOD,FLUOR,FLUOR_UNITS,FLUOR_A,FLUOR_QUALIFIER,FLUOR_METHOD,TCHL_PRE_CAL,TCHL_PRE_CAL_UNITS,TCHL_PRE_CAL_A,TCHL_PRE_CAL_QUALIFIER,TCHL_PRE_CAL_METHOD,CHLA,CHLA_UNITS,CHLA_A,CHLA_QUALIFIER,CHLA_METHOD,BGA_PE,BGA_PE_UNITS,BGA_PE_A,BGA_PE_QUALIFIER,BGA_PE_METHOD,BGA_PE_RFU,BGA_PE_RFU_UNITS,BGA_PE_RFU_A,BGA_PE_RFU_QUALIFIER,BGA_PE_RFU_METHOD,FDOM,FDOM_UNITS,FDOM_A,FDOM_QUALIFIER,FDOM_METHOD,FDOM_RFU,FDOM_RFU_UNITS,FDOM_RFU_A,FDOM_RFU_QUALIFIER,FDOM_RFU_METHOD,COMMENTS
16366,CMON,VIMS,1/1/2024 12:00:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.8140,M,,6.3300,,8.7930,DEG C,,,F01,32045.0000,UMHOS/CM,,,F01,19.8800,PPT,,,F01,100.8000,PCT,,,F04,10.3000,MG/L,,,F04,8.1200,SU,,,F01,2.8400,NTU,,,F01,0.6300,%FS,GPF;NQR,,F01,2.3500,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,1.5500,UG/L,GPF;NQR,,F01,0.6700,RFU,GPF;NQR,,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
16366,CMON,VIMS,1/1/2024 12:15:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.8200,M,,6.3300,,8.8360,DEG C,,,F01,32127.0000,UMHOS/CM,,,F01,19.9400,PPT,,,F01,99.4000,PCT,,,F04,10.1400,MG/L,,,F04,8.1000,SU,,,F01,2.8200,NTU,,,F01,0.5800,%FS,GPF;NQR,,F01,2.1400,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,-2.0600,UG/L,GPF;GNV;NQR,>,F01,-0.6800,RFU,GPF;GNV;NQR,>,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
16366,CMON,VIMS,1/1/2024 12:30:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.8220,M,,6.3300,,8.8480,DEG C,,,F01,32128.0000,UMHOS/CM,,,F01,19.9400,PPT,,,F01,99.0000,PCT,,,F04,10.1000,MG/L,,,F04,8.1000,SU,,,F01,2.9900,NTU,,,F01,0.4900,%FS,GPF;NQR,,F01,1.7400,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,1.9800,UG/L,GPF;NQR,,F01,0.8300,RFU,GPF;NQR,,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
16366,CMON,VIMS,1/1/2024 12:45:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.8260,M,,6.3300,,8.8520,DEG C,,,F01,32112.0000,UMHOS/CM,,,F01,19.9300,PPT,,,F01,100.1000,PCT,,,F04,10.2100,MG/L,,,F04,8.1200,SU,,,F01,2.8600,NTU,,,F01,0.2900,%FS,GPF;NQR,,F01,0.9400,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,-0.0100,UG/L,GPF;GNV;NQR,>,F01,0.0900,RFU,GPF;GNV;NQR,>,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
16366,CMON,VIMS,1/1/2024 1:00:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.8260,M,,6.3300,,8.8450,DEG C,,,F01,32089.0000,UMHOS/CM,,,F01,19.9200,PPT,,,F01,101.1000,PCT,,,F04,10.3200,MG/L,,,F04,8.1300,SU,,,F01,2.9300,NTU,,,F01,0.8100,%FS,GPF;NQR,,F01,3.0800,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,2.8200,UG/L,GPF;NQR,,F01,1.1500,RFU,GPF;NQR,,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
16366,CMON,VIMS,1/1/2024 1:15:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.8110,M,,6.3300,,8.8450,DEG C,,,F01,32098.0000,UMHOS/CM,,,F01,19.9200,PPT,,,F01,98.4000,PCT,,,F04,10.0400,MG/L,,,F04,8.0800,SU,,,F01,2.7900,NTU,,,F01,0.9800,%FS,GPF;NQR,,F01,3.7500,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,4.7100,UG/L,GPF;NQR,,F01,1.8500,RFU,GPF;NQR,,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
16366,CMON,VIMS,1/1/2024 1:30:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.7940,M,,6.3300,,8.6300,DEG C,,,F01,31492.0000,UMHOS/CM,,,F01,19.5000,PPT,,,F01,100.5000,PCT,,,F04,10.3300,MG/L,,,F04,8.1200,SU,,,F01,2.9600,NTU,,,F01,0.8400,%FS,GPF;NQR,,F01,3.1700,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,3.6400,UG/L,GPF;NQR,,F01,1.4500,RFU,GPF;NQR,,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
16366,CMON,VIMS,1/1/2024 1:45:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.7750,M,,6.3300,,8.6630,DEG C,,,F01,31515.0000,UMHOS/CM,,,F01,19.5200,PPT,,,F01,100.9000,PCT,,,F04,10.3700,MG/L,,,F04,8.1300,SU,,,F01,2.9400,NTU,,,F01,1.3200,%FS,GPF;NQR,,F01,5.1400,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,19.7700,UG/L,GPF;NQR,,F01,7.5000,RFU,GPF;NQR,,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
16366,CMON,VIMS,1/1/2024 2:00:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.7500,M,,6.3300,,8.6440,DEG C,,,F01,31510.0000,UMHOS/CM,,,F01,19.5100,PPT,,,F01,99.4000,PCT,,,F04,10.2100,MG/L,,,F04,8.1100,SU,,,F01,2.8100,NTU,,,F01,0.3300,%FS,GPF;NQR,,F01,1.1300,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,-0.2300,UG/L,GPF;GNV;NQR,>,F01,0.0100,RFU,GPF;GNV;NQR,>,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
16366,CMON,VIMS,1/1/2024 2:15:00 AM,YRK005.40,Lower York River,YRKPH,19M100945,37.247284,-76.499369,0.3,AB,2.7260,M,,6.3400,,8.6170,DEG C,,,F01,31210.0000,UMHOS/CM,,,F01,19.3100,PPT,,,F01,99.5000,PCT,,,F04,10.2500,MG/L,,,F04,8.1100,SU,,,F01,2.7500,NTU,,,F01,0.2700,%FS,GPF;NQR,,F01,0.8500,UG/L,GPF;NQR,,F01,,UG/L,NND,,F01,-0.6000,UG/L,GPF;GNV;NQR,>,F01,-0.1300,RFU,GPF;GNV;NQR,>,F01,,,,,,,,,,,TWO CHLA/BGA PROBES WERE USED ON THIS ENTIRE DEPLOYMENT TO HELP WITH PORT ISSUE; THIS CAUSED A CROSS TALK ISSUE BETWEEN THE OPTICAL PROBE; ALL DATA REJECTED FOR THIS ENTIRE DEPLOYMENT.  ALL CHLA/FS AND BGA/FS DATA UNRELIABLE.
